Manufacturer,Model,Variant,Top speed,Acceleration,Capacity,Charging time,Nominal range,Market release date and sales,,,
,,,,,(adults and children),,,,,,
Aiways,Aiways U5,,160 km/h (99 mph)[1],10 s[1],5[1],DC fast charging time (30% ~ 80%): 27min,400 km (249 mi) (WLTP)[2],?,,,
,,,,,,AC standard charging time (0% ~ 100%): 10.5h[1],,,,,
Audi,Audi e-tron 55,,200 km/h (124 mph),5.7 s,5,"8.5 hours, DC Charging 150 KW 80% in 30 min","328 km (204 mi) (EPA), 433 km (269 mi) (WLTP)",2019,,,
Audi,Audi e-tron 50,,190 km/h (118 mph),6.8 s,5,"6 hours, DC Charging 120 KW 80% in 30 min",329 km (204 mi) (WLTP),?,,,
BMW,i3,,150 km/h (93 mph),8 s,4,4h - 6h with the 240 V charging unit or 30 – 40 minutes at public DC charging stations (when charging from 0 to 80%),246 km (153 mi)[3] MY 2019 (120 A·h) (EPA) 183 km (114 mi)[4] MY 2017/18 (94 A·h) (EPA),Released in Europe in 2013 and in 2014 in the U.S.,,,
,,,,,,,130 km (81 mi)[4]MY 2014/17 (60 A·h) (EPA),A gasoline-powered range extender option is available to increased range to 240 km (150 mi) (EPA rating).[5],,,
,,,,,,,,"Starting with the model year 2017, released in July 2016, two battery options are available, 94 A·h and 60 A·h.[4] For the 2019 model year, a larger 120 A·h battery became the only option, and the Range Extender was discontinued in some markets.[3]",,,
BYD,BYD e6,,160 km/h (100 mph),8 s,5,"Fast charging within 15 minutes to 80%, and 40 minutes to 100%",400 km (250 mi),"Market Release 2009, Cumulative sales in China totaled 34,862 units through December 2016.",,,
Chevrolet,Bolt EV,,150 km/h (93 mph) (speed limited),6.5 s,15,,383 km (238 mi),"Production started in October 2016, deliveries started in late 2016[6]",,,
Citroën,C-Zero,,130 km/h (81 mph),15.9 s,17,7 hours when charged from household; 30 minutes when charging from a quick charger system[7],150 km (93 mi),Rebranded Mitsubishi i-MiEV; since 2010 Available in Europe,,,
Citroën,Citroën ë-c4,,,,,,,,,,
ECOmove,QBeak,,90 km/h (56 mph),,4,8 hours,250 km (155 mi),Available in Denmark for now.[24],,,
EV Electra,QUDS CAPITAL,,160 km/h (99 mph),,4.5,,range is 800 km (497 mi),?,,,
EV Electra,QUDS EE,,260 km/h (162 mph),,2.8,,range is 800 km (497 mi),?,,,
Ford,Ford Focus Electric,,135 km/h (84 mph),,5,5.5 hours for the 2017 model using a SAE J1772-2009 charging station powered from a standard 240 volt socket,2017 model's EPA certified range is 185 km (115 mi),2011–2018,,,
Ford,Ford Mustang Mach-E,2021,Electra Meccanica,SOLO,,129 km/h (80 mph),10 s,1,2.5 Hours @220V (15-90%),EPA certified range is 161 km (100 mi),2015–present
Honda,Clarity Electric,,,7.7 s,,,143 km (89 mi),"For lease only, in some US states from 2017 to 2020.",,,
